Tipo Agregado;Valor m2
Apartamento;53.57
Apartamento;12.0
Apartamento;29.58
Apartamento;29.01
Apartamento;29.85
Apartamento;19.5
Apartamento;21.11
Apartamento;62.5
Apartamento;57.5
Apartamento;27.69
Casa;46.3
Apartamento;21.43
Apartamento;17.35
Apartamento;10.61
Apartamento;31.5
Apartamento;15.0
Apartamento;17.05
Apartamento;21.54
Apartamento;77.83
Apartamento;57.25
Apartamento;43.33
Apartamento;19.35
Apartamento;61.54
Apartamento;32.52
Apartamento;18.0
Apartamento;34.21
Apartamento;12.5
Apartamento;18.0
Apartamento;21.25
Apartamento;47.22
Apartamento;10.71
Apartamento;38.33
Apartamento;16.25
Apartamento;17.35
Apartamento;59.46
Apartamento;47.62
Apartamento;52.38
Apartamento;28.38
Apartamento;32.86
Apartamento;54.79
Apartamento;27.27
Apartamento;27.69
Casa;14.29
Casa;28.02
Apartamento;34.55
Apartamento;50.0
Apartamento;53.57
Apartamento;24.62
Apartamento;18.12
Apartamento;20.83
Apartamento;74.58
Apartamento;28.57
Apartamento;26.44
Apartamento;21.43
Apartamento;25.33
Apartamento;43.75
Apartamento;30.77
Apartamento;17.07
Apartamento;40.28
Apartamento;25.0
Apartamento;22.39
Apartamento;16.39
Apartamento;72.73
Apartamento;27.59
Apartamento;20.83
Apartamento;15.56
Casa;23.75
Apartamento;17.44
Apartamento;47.5
Apartamento;22.64
Casa;64.6
Casa;10.0
Apartamento;31.67
Apartamento;50.0
Apartamento;27.78
Apartamento;55.56
Apartamento;40.91
Apartamento;39.13
Apartamento;20.0
Apartamento;43.75
Apartamento;33.33
Apartamento;21.43
Apartamento;28.57
Apartamento;35.56
Apartamento;47.26
Apartamento;30.26
Apartamento;40.0
Apartamento;53.57
Apartamento;50.56
Apartamento;40.2
Apartamento;61.54
Apartamento;36.23
Apartamento;47.5
Apartamento;33.33
Apartamento;33.85
Apartamento;100.0
Apartamento;21.67
Apartamento;18.67
Apartamento;46.45
Apartamento;22.86
Apartamento;76.92
Apartamento;13.33
Apartamento;44.9
Apartamento;38.4
Apartamento;94.37
Apartamento;23.91
Apartamento;18.57
Apartamento;46.15
Apartamento;38.1
Apartamento;13.16
Apartamento;61.11
Apartamento;29.85
Apartamento;36.84
Apartamento;20.31
Apartamento;38.89
Apartamento;42.22
Apartamento;21.74
Apartamento;24.39
Casa;83.33
Apartamento;23.28
Apartamento;27.78
Casa;24.0
